N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
9.0,99.0,82.6,0.4552455205811137,0,Hanna2007,1.217490482114355
13.0,65.0,21.9,0.4845022831050229,1,Hanna2007,0.20020573512247486
8.0,75.0,45.3,0.49108203090507735,1,Hanna2007,0.11586898505935722
18.0,99.0,52.0,0.4891250000000001,1,Hanna2007,0.3411564476473784
9.0,89.0,73.1,0.4766642954856361,1,Hanna2007,0.17614568837405897
9.0,98.0,96.4,0.45469387966804975,0,Hanna2007,1.176294474214406
28.0,97.0,104.8,0.4481675572519085,0,Hanna2007,1.3298506323140105
12.0,99.0,122.7,0.4322272208638957,0,Hanna2007,1.2943157307510327
30.0,11.0,37.3,0.2522,0,Hanna2007,0.9800909737214701
14.0,34.0,66.2,0.24635,0,Hanna2007,0.2865615406738815
13.0,82.0,91.2,0.24050000000000002,0,Hanna2007,0.2941287050308483
8.0,35.0,122.0,0.23426000000000002,0,Hanna2007,0.01431196754770747
48.0,89.0,146.7,0.2288,0,Hanna2007,2.0196039873290177
5.0,65.0,30.3,0.31730854785478546,1,Hanna2007,0.07706554355868926
4.0,78.0,38.3,0.36592250652741515,0,Hanna2007,0.15254674841004426
9.0,33.0,45.2,0.3843697345132744,1,Hanna2007,0.09308114819166045
6.0,99.0,50.1,0.4061137724550898,0,Hanna2007,1.3788564800671756
10.0,98.0,56.6,0.4177216961130742,1,Hanna2007,1.223206528939944
43.0,17.0,65.4,0.42090660550458714,0,Hanna2007,1.4064716806724777
40.0,11.0,74.8,0.42528839572192517,0,Hanna2007,1.3310517607123211
50.0,4.0,82.5,0.4279915151515152,0,Hanna2007,1.6419908053423664
7.0,97.0,13.7,0.25649,0,Hanna2007,1.504490459537917
6.0,89.0,20.3,0.3469796059113301,1,Hanna2007,0.43027039769315134
6.0,89.0,27.2,0.40142948529411765,1,Hanna2007,0.39698875395617017
4.0,100.0,33.5,0.4471573134328358,0,Hanna2007,1.4795029251591139
4.0,97.0,41.5,0.4622110843373495,1,Hanna2007,1.417767639458804
5.0,99.0,49.2,0.4689702439024391,0,Hanna2007,1.4002279872144217
17.0,54.0,56.4,0.47230129432624113,1,Hanna2007,0.30196690702929657
6.0,100.0,63.9,0.4812319248826292,0,Hanna2007,1.360439326242856
9.0,99.0,70.1,0.4855308987161199,0,Hanna2007,1.2450738480599257
1.0,86.0,44.7,0.4584026845637584,0,Hanna2007,1.3178820680255687
1.0,96.0,56.4,0.48437907801418445,0,Hanna2007,1.3733228761080736
4.0,97.0,49.7,0.4040818511066398,0,Hanna2007,1.3971120290038381
5.0,98.0,64.3,0.425824401244168,0,Hanna2007,1.3692032076931322
4.0,98.0,72.3,0.4309498201936377,0,Hanna2007,1.3714140564756987
10.0,78.0,96.5,0.4324251295336788,0,Hanna2007,0.16163211244713174
1.0,93.0,39.7,0.40575128463476073,0,Hanna2007,1.3937458961554967
13.0,100.0,68.0,0.4445330882352941,0,Hanna2007,0.3983370225202462
8.0,98.0,15.0,0.2561,0,Hanna2007,1.4100039253466314
9.0,98.0,27.2,0.35217286764705885,0,Hanna2007,0.5727587828609527
9.0,71.0,39.0,0.39731833333333333,1,Hanna2007,0.13630145356676876
8.0,97.0,47.2,0.4165825211864406,0,Hanna2007,1.31756453954757
17.0,99.0,56.5,0.42390123893805315,0,Hanna2007,0.3415096187064623
9.0,100.0,69.9,0.42878054363376256,0,Hanna2007,1.253870903522105
3.0,99.0,78.6,0.42936386768447843,0,Hanna2007,1.3740177844961203
5.0,95.0,87.6,0.4274640410958905,1,Hanna2007,1.3140638371339592
12.0,99.0,18.2,0.25532,0,Hanna2007,0.4947667760581688
4.0,77.0,35.9,0.25142,0,Hanna2007,0.15887890807163216
